CodigoConvocatoria;CodigoSicAgente;NombreAgenteComprador;FechaPublicacionAviso;PeriodoAContratar;FechaPliegosParaConsulta;FechaPliegosDefinitivos;FechaLimiteRecepcionOfertas;AudienciaPublica;FechaMaximaFormalizacionContratos;Estado;TipoMercado;ExclusivaFNCER;FechaSuspension;FechaReactivacion;FechaCancelacion;FechaCierreConvocatoria
CP-RTQC2023-002;RTQC;RUITOQUE;10/05/2023;01/01/2024 al 31/12/2026;10/05/2023;31/05/2023;30/06/2023;14/07/2023;8/08/2023;Cerrada y desierta;Regulado;NO;;;;18/07/2023
CP-EBPC2023-002;EBPC;BAJO PUTUMAYO;11/05/2023;15/08/2023 al 31/12/2027;12/05/2023;2/06/2023;5/07/2023;14/07/2023;8/08/2023;Cerrada y desierta;Regulado;NO;;;;17/07/2023
CP-GNCC2023-002;GNCC;VATIA;8/05/2023;01/09/2023 al 31/12/2028;8/05/2023;25/05/2023;6/07/2023;19/07/2023;1/08/2023;Cerrada y adjudicada;Regulado;NO;26/06/2023;;;4/08/2023
CP-CHCC2023-001;CHCC;CHEC;12/05/2023;01/10/2023 al 31/12/2028;15/05/2023;6/06/2023;12/07/2023;26/07/2023;16/08/2023;Cerrada y adjudicada;Regulado;NO;;;;24/08/2023
CP-EMSC2023-002;EMSC;EMSA;18/05/2023;01/01/2024 al 31/12/2038;19/05/2023;13/06/2023;13/07/2023;26/07/2023;16/08/2023;Cerrada y adjudicada;Regulado;NO;;;;29/08/2023
CP-DLRC2023-001;DLRC;DICELER;19/05/2023;01/09/2023 al 31/12/2033;19/05/2023;13/06/2023;13/07/2023;27/07/2023;18/08/2023;Cerrada y desierta;Regulado;NO;;;;25/01/2024
CP-CDNC2023-002;CDNC;CEDENAR;23/05/2023;01/10/2023 al 31/12/2037;23/05/2023;14/06/2023;14/07/2023;28/07/2023;22/08/2023;Cerrada y desierta;Regulado;NO;;;;28/07/2023
CP-HLAC2023-002;HLAC;ELECTROHUILA;29/05/2023;01/08/2023 al 31/12/2037;30/05/2023;14/06/2023;14/07/2023;28/07/2023;15/08/2023;Cerrada y adjudicada;Regulado;NO;;;;24/08/2023
CP-ESVC2023-002;ESVC;SIGLO XXI;6/06/2023;01/09/2023 al 31/12/2025;6/06/2023;16/06/2023;19/07/2023;1/08/2023;18/08/2023;Cerrada y adjudicada;Regulado;NO;;;;28/08/2023
CP-QIEC2023-001;QIEC;QI ENERGY;6/06/2023;14/09/2023 al 30/09/2033;6/06/2023;16/06/2023;19/07/2023;2/08/2023;25/08/2023;Cerrada y desierta;Regulado;NO;;;;4/08/2023
CP-ENBC2023-001;ENBC;ENERBIT;7/06/2023;01/09/2023 al 31/12/2033;7/06/2023;23/06/2023;25/07/2023;2/08/2023;25/08/2023;Cerrada y adjudicada;Regulado;NO;;;;1/09/2023
CP-BIAC2023-004;BIAC;BIAE;20/06/2023;01/09/2023 al 31/12/2024;20/06/2023;24/06/2023;25/07/2023;5/08/2023;18/08/2023;Cerrada y adjudicada;Regulado;NO;;;;22/08/2023
CP-EEPC2023-003;EEPC;EEP;14/06/2023;01/09/2023 al 31/12/2025;14/06/2023;28/06/2023;28/07/2023;11/08/2023;30/08/2023;Cerrada y adjudicada;Regulado;NO;;;;5/09/2023
CP-CMXC2023-002;CMXC;CEMEX ENERGY;13/06/2023;01/10/2023 al 31/12/2033;13/06/2023;6/07/2023;4/08/2023;18/08/2023;11/09/2023;Cerrada y desierta;No Regulado;NO;;;;22/08/2023
CP-EBPC2023-003;EBPC;BAJO PUTUMAYO;14/06/2023;15/09/2023 al 14/09/2033;15/06/2023;10/07/2023;9/08/2023;18/08/2023;11/09/2023;Cerrada y adjudicada;Regulado;NO;;;;25/09/2023
CP-EXEC2023-004;EXEC;exenergy;21/06/2023;01/09/2023 al 31/12/2033;23/06/2023;10/07/2023;9/08/2023;18/08/2023;11/09/2023;Cerrada y desierta;Regulado;NO;;;;18/08/2023
CP-ENDC2023-002;ENDC;ENEL;23/06/2023;01/09/2023 al 31/12/2037;26/06/2023;11/07/2023;10/08/2023;24/08/2023;5/09/2023;Cerrada y adjudicada;Regulado;NO;;;;14/09/2023
CP-NEUC2023-003;NEUC;NEU;12/07/2023;01/01/2024 al 31/12/2024;12/07/2023;19/07/2023;18/08/2023;1/09/2023;22/09/2023;Cerrada y desierta;Regulado;NO;;;;4/09/2023
